line,character,dialogue,episode
1,THREEPIO,Did you hear that?  They ve shut down the main reactor.  We ll be destroyed for sure.  This is madness!,IV
2,THREEPIO,We re doomed!,IV
3,THREEPIO,There ll be no escape for the Princess this time.,IV
4,THREEPIO,What s that?,IV
5,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,IV
6,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,IV
7,THREEPIO,"Artoo! Artoo-Detoo, where are you?",IV
8,THREEPIO,At last!  Where have you been?,IV
9,THREEPIO,They re heading in this direction. What are we going to do?  We ll be sent to the spice mines of Kessel or smashed into who knows what!,IV
10,THREEPIO,"Wait a minute, where are you going?",IV
11,IMPERIAL OFFICER,The Death Star plans are not in the main computer.,IV
12,VADER,Where are those transmissions you intercepted?,IV
13,REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,IV
14,VADER,If this is a consular ship... where is the Ambassador?,IV
15,VADER,"Commander, tear this ship apart until you ve found those plans and bring me the Ambassador.  I want her alive!",IV
16,TROOPER,There she is! Set for stun!,IV
17,TROOPER,She ll be all right. Inform Lord Vader we have a prisoner.,IV
18,THREEPIO,"Hey, you re not permitted in there.  It s restricted. You ll be deactivated for sure..",IV
19,THREEPIO,"Don t call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.",IV
20,THREEPIO,Secret mission?  What plans?  What are you talking about?  I m not getting in there!,IV
21,THREEPIO,I m going to regret this.,IV
22,CHIEF PILOT,There goes another one.,IV
23,CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.,IV
24,THREEPIO,"That s funny, the damage doesn t look as bad from out here.",IV
25,THREEPIO,Are you sure this things safe?,IV
26,WOMAN,I ve told you kids to slow down!,IV
27,FIXER,Did I hear a young noise blast through here?,IV
28,CAMIE,It was just Wormie on another rampage.,IV
29,LUKE,Shape it up you guys!...  Biggs?,IV
30,LUKE,I didn t know you were back!  When did you get in?,IV
31,BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you d be here... certainly didn t expect you to be out working. ",IV
32,LUKE,"The Academy didn t change you much... but you re back so soon?  Hey, what happened, didn t you get your commission?",IV
33,BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,IV
34,LUKE,I almost forgot.  There s a battle going on!  Right here in our system.  Come and look!,IV
35,DEAK,Not again!  Forget it.,IV
36,LUKE,There they are!,IV
37,BIGGS,"That s no battle, hot shot... they re just sitting there!  Probably a freighter-tanker refueling.",IV
38,LUKE,But there was a lot of firing earlier...,IV
39,LUKE,"Hey, easy with those...",IV
40,CAMIE,"Don t worry about it, Wormie.",IV
41,FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...",IV
42,LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you ve attacked a diplomatic...",IV
43,VADER,"Don t play games with me, Your Highness.  You weren t on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.",IV
44,LEIA,I don t know what you re talking about.  I m a member of the Imperial Senate on a diplomatic mission to Alderaan...,IV
45,VADER,You re a part of the Rebel Alliance... and a traitor.  Take her away!,IV
46,COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.",IV
47,VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!,IV
48,COMMANDER,you anything.,IV
49,VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!,IV
50,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.",IV
51,VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There ll be no one to stop us this time.",IV
52,COMMANDER,"Yes, sir.",IV
53,THREEPIO,How did I get into this mess?  I really don t know how.  We seem to be made to suffer.  It s our lot in life.,IV
54,THREEPIO,I ve got to rest before I fall apart.  My joints are almost frozen. ,IV
55,THREEPIO,What a desolate place this is.,IV
56,THREEPIO,Where are you going?,IV
57,THREEPIO,"Well, I m not going that way.  It s much too rocky.  This way is much easier.",IV
58,THREEPIO,What makes you think there are settlements over there?,IV
59,THREEPIO,Don t get technical with me.,IV
60,THREEPIO,"What mission?  What are you talking about?  I ve had just about enough of you!  Go that way!  You ll be malfunctioning within a day, you nearsighted scrap pile!",IV
61,THREEPIO,"And don t let me catch you following me begging for help, because you won t get it.",IV
62,THREEPIO,No more adventures.  I m not going that way.,IV
63,THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he ll do no better.",IV
64,THREEPIO,"Wait, what s that?  A transport!  I m saved!",IV
65,THREEPIO,"Over here!  Help!  Please, help!",IV
66,LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak s trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic.",IV
67,BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you re going to be nothing more than a dark spot on the down side of a canyon wall.",IV
68,LUKE,Look who s talking.  Now that you ve been around those giant starships you re beginning to sound like my uncle. You ve gotten soft in the city...,IV
69,BIGGS,I ve missed you kid.,IV
70,LUKE,"Well, things haven t been the same since you left, Biggs.  It s been so...quiet.",IV
71,BIGGS,"Luke, I didn t come back just to say goodbye...  I shouldn t tell you this, but you re the only one I can trust... and if I don t come back, I want somebody to know.",IV
72,LUKE,What are you talking about?,IV
73,BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, we re going to jump ship and join the Alliance...",IV
74,LUKE,Join the Rebellion?!  Are you kidding!  How?,IV
75,BIGGS,Quiet down will ya!  You got a mouth bigger than a meteor crater!,IV
76,LUKE,I m sorry.  I m quiet. Listen how quiet I am.  You can barely hear me...,IV
77,BIGGS,My friend has a friend on Bestine who might help us make contact.,IV
78,LUKE,around forever trying to find them.,IV
79,BIGGS,"I know it s a long shot, but if I don t find them I ll do what I can on my own...  It s what we always talked about.  Luke, I m not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in. ",IV
80,LUKE,And I m stuck here...,IV
81,BIGGS,I thought you were going to the Academy next term.  You ll get your chance to get off this rock.,IV
82,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they ve even raided the outskirts of Anchorhead.,IV
83,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,IV
84,LUKE,"I know, but he s got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can t leave him now.",IV
85,BIGGS,"I feel for you, Luke, you re going to have to learn what seems to be important or what really is important.  What good is all your uncle s work if it s taken over by the Empire?...  You know they re starting to nationalize commerce in the central systems...it won t be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",IV
86,LUKE,It couldn t happen here.  You said it yourself.  The Empire won t bother with this rock.,IV
87,BIGGS,Things always change.,IV
88,LUKE,I wish I was going...  Are you going to be around long? ,IV
89,BIGGS,"No, I m leaving in the morning...",IV
90,LUKE,Then I guess I won t see you.,IV
91,BIGGS,Maybe someday...  I ll keep a lookout.,IV
92,LUKE,"Well, I ll be at the Academy next season... after that who knows.  I won t be drafted into the Imperial Starfleet that s for sure...  Take care of yourself, you ll always be the best friend I ve got.",IV
93,BIGGS,"So long, Luke.",IV
