line,character,dialogue,episode
1,LUKE,"Echo Three to Echo Seven. Han, old buddy, do you  read me?",V
2,HAN,"Loud and clear, kid. What s up?",V
3,LUKE,"Well, I finished my circle. I don t pick up any  life readings.",V
4,HAN,There isn t enough life on this ice cube to fill a  space cruiser. The sensors are placed. I m going back.,V
5,LUKE,Right. I ll see you shortly. There s a meteorite  that hit the ground near here. I want to check it out. It won t take long.,V
6,LUKE,"Hey, steady girl. What s the matter? You smell something?",V
7,LUKE,Aaargh!,V
8,HAN,Chewie!,V
9,HAN,"All right, don t lose your temper. I ll come right back and give  you a hand.",V
10,RIEEKAN,Solo?,V
11,HAN,"No sign of life out there, General. The sensors are in place.  You ll know if anything comes around.",V
12,RIEEKAN,Commander Skywalker reported in yet?,V
13,HAN,No. He s checking out a meteorite that hit near him.,V
14,RIEEKAN,"With all the meteor activity in this  system, it s going to be difficult to spot approaching ships.",V
15,HAN,"General, I ve got to leave. I can t stay anymore.",V
16,RIEEKAN,I m sorry to hear that.,V
17,HAN,"Well, there s a price on my head. If I don t pay off Jabba the  Hut, I m a dead man.",V
18,RIEEKAN,"A death mark s not an easy thing to live with. You re a good  fighter, Solo. I hate to lose you.",V
19,HAN,"Thank you, General.",V
20,HAN,"Well, Your Highness, I guess this is it.",V
21,LEIA,That s right.,V
22,HAN,"Well, don t get all mushy on me. So long, Princess.",V
23,LEIA,Han!,V
24,HAN,"Yes, Your Highnessness?",V
25,LEIA,I thought you decided to stay.,V
26,HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my  mind.",V
27,LEIA,"Han, we need you!",V
28,HAN,We?,V
29,LEIA,Yes.,V
30,HAN,"Oh, what about you need?",V
31,LEIA,I need? I don t know what you re talking about.,V
32,HAN,You probably don t.,V
33,LEIA,And what precisely am I supposed to know?,V
34,HAN,Come on! You want me to stay because of the way you feel about  me.,V
35,LEIA,Yes. You re a great help to us. You re a natural leader...,V
36,HAN,No! That s not it. Come on. Aahhh -- uh huh! Come on.,V
37,LEIA,You re imagining things.,V
38,HAN,Am I? Then why are you following me? Afraid I was going to leave  without giving you a goodbye kiss?,V
39,LEIA,I d just as soon kiss a Wookiee.,V
40,HAN,I can arrange that. You could use a good kiss!,V
41,THREEPIO,Don t try to blame me. I didn t ask you to turn on the  thermal heater. I merely commented that it was freezing in the princess s chamber. But it s supposed to be freezing. How are we going to dry out all her clothes? I really don t know.,V
42,THREEPIO,"Oh, switch off.",V
43,HAN,Why do you take this apart now? I m trying to get us  out of here and you pull both of these.,V
44,THREEPIO,"Excuse me, sir.",V
45,HAN,Put them back together right now.,V
46,THREEPIO,"Might I have a word with you, please?",V
47,HAN,What do you want?,V
48,THREEPIO,"Well, it s Princess Leia, sir. She s been trying to get you  on the communicator.",V
49,HAN,I turned it off. I don t want to talk to her.,V
50,THREEPIO,"Oh. Well, Princess Leia is wondering about Master Luke. He  hasn t come back yet. She doesn t know where he is.",V
51,HAN,I don t know where he is.,V
52,THREEPIO,Nobody knows where he is.,V
53,HAN,"What do you mean, \ nobody knows\ ?",V
54,THREEPIO,"Well, uh, you see...",V
55,HAN,Deck Officer. Deck Officer!,V
56,THREEPIO,"Excuse me, sir. Might I inqu-...",V
57,DECK OFFICER,"Yes, sir?",V
58,HAN,Do you know where Commander Skywalker is?,V
59,DECK OFFICER,I haven t seen him. It s possible he came in through the  south entrance.,V
60,HAN,It s possible? Why don t you go find out? It s getting dark out  there.,V
61,DECK OFFICER,"Yes, sir.",V
62,THREEPIO,"Excuse me, sir. Might I inquire what s going on?",V
63,HAN,Why not?,V
64,THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger.",V
65,DECK OFFICER,"Sir, Commander Skywalker hasn t come in through the  south entrance. He might have forgotten to check in.",V
66,HAN,Not likely. Are the speeders ready?,V
67,DECK OFFICER,Not yet. We re having some trouble adapting them to the  cold.,V
68,HAN,Then we ll have to go out on Tauntauns.,V
69,DECK OFFICER,"Sir, the temperature s dropping too rapidly.",V
70,HAN,That s right. And my friends out in it.,V
71,ASSISTANT OFFICER,I ll cover sector twelve. Have com-control set  screen alpha.,V
72,DECK OFFICER,Your Tauntaun ll freeze before you reach the first  marker.,V
73,HAN,Then I ll see you in hell!,V
74,THREEPIO,"You must come along now, Artoo. There s really nothing more  we can do. And my joints are freezing up.",V
75,THREEPIO,"Don t say thing like that! Of course we ll see Master Luke  again. He ll be quite all right, you ll see.  Stupid little short-circuit. He ll be quite all right.",V
76,LIEUTENANT,"Sir, all the patrols are in. There s still no contact from  Skywalker or Solo.",V
77,THREEPIO,"Mistress Leia, Artoo says he s been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope.",V
78,DERLIN,"Your Highness, there s nothing more we can do tonight. The  shield doors must be closed.",V
79,DERLIN,Close the doors.,V
80,LIEUTENANT,"Yes, sir.",V
81,THREEPIO,Artoo says the chances of survival are seven hundred  seventy-five...to one.,V
82,THREEPIO,"Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Don t worry about Master Luke. I m sure he ll be all right. He s quite clever, you know...for a human being.",V
83,BEN,Luke...Luke.,V
84,LUKE,Ben?,V
85,BEN,You will go to the Dagobah system.,V
86,LUKE,Dagobah system?,V
87,BEN,"There you will learn from Yoda, the Jedi Master who instructed  me.",V
88,LUKE,Ben...Ben.,V
89,HAN,"Luke! Luke! Don t do this, Luke. Come on, give me a sign here.",V
90,HAN,Not much time.,V
91,LUKE,Ben...Ben...,V
92,HAN,"Hang on, kid.",V
93,LUKE,Dagobah system...,V
94,HAN,Whew...,V
95,LUKE,Dagobah...,V
96,HAN,"This may smell bad, kid...",V
97,LUKE,Yoda...,V
98,HAN,...but it will keep you warm...til I get the shelter built.   Ooh...I thought they smelled bad on the outside!,V
99,ZEV,"Echo Base...I ve got something! Not much, but  it could be a life form.",V
100,ZEV,"This is Rouge Two. this is Rouge Two. Captain  Solo, so you copy? Commander Skywalker, do you copy? This is Rouge Two.",V
101,HAN,Good morning. Nice of you guys to  drop by.,V
102,ZEV,"Echo Base...this is Rouge Two. I found  them. Repeat, I found them.",V
103,THREEPIO,"Master Luke, sir, it s good to see you fully functional  again.",V
104,THREEPIO,"Artoo expresses his relief, also.",V
105,HAN,"How are you feeling, kid? You don t look so bad to me. In fact,  you look strong enough to pull the ears off a Gundark.",V
106,LUKE,Thanks to you.,V
107,HAN,"That s two you owe me, junior.",V
108,HAN,"Well your Worship, looks like you managed to keep me around for a  little while longer.",V
109,LEIA,I had nothing to do with it. General Rieekan thinks  it s dangerous for any ships to leave the system until we ve activated the energy shield.,V
110,HAN,That s a good story. I think you just can t bear to let a  gorgeous guy like me out of your sight.,V
111,LEIA,"I don t know where you get you delusions, laser brain.",V
112,HAN,"Laugh it up, fuzz ball. But you didn t see us alone in the south  passage.",V
113,HAN,She expressed her true feelings for me.,V
114,LEIA,"My...! Why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder!",V
115,HAN,"Who s scruffy-looking?  I must have hit her pretty close  to the mark to get her all riled up like that, huh, kid?",V
116,LEIA,"Why, I guess you don t know everything about women yet?",V
117,ANNOUNCER,"Headquarters personnel, report to command  center.",V
118,HAN,Take it easy.,V
119,THREEPIO,"Excuse us, please.",V
120,RIEEKAN,Princess...we have a visitor.,V
121,RIEEKAN,"We ve picked up something outside the base in zone twelve,  moving east.",V
122,SENIOR CONTROLLER,It s metal.,V
123,LEIA,Then it couldn t be one of those creatures that attacked Luke.,V
124,HAN,"It could be a speeder, one of ours.",V
125,SENIOR CONTROLLER,No. Wait -- there s something very weak coming  through.,V
126,THREEPIO,"Sir, I am fluent in six million forms of communication. This  signal is not used by the Alliance. It could be an Imperial code.",V
127,HAN,"It isn t friendly, whatever it is. Come on, Chewie, let s check  it out.",V
128,RIEEKAN,Send Rouges Ten and Eleven to station three-eight.,V
129,HAN,Afraid there s not much left.,V
130,LEIA,What was it?,V
131,HAN,Droid of some kind. I didn t hit it that hard. It  must have had a self-destruct.,V
132,LEIA,An Imperial probe droid.,V
133,HAN,It s a good bet the Empire knows we re here.,V
134,RIEEKAN,We d better start the evacuation.,V
135,PIETT,Admiral.,V
136,OZZEL,"Yes, Captain",V
137,PIETT,"I think we ve got something, sir. The report is only a fragment  had.",V
138,OZZEL,"We have thousands of probe droids searching the  galaxy. I want proof, not leads!",V
139,PIETT,The visuals indicate life readings.,V
140,OZZEL,It could mean anything. If we followed every lead...,V
141,PIETT,"But, sir, the Hoth system is supposed to be devoid of human  forms.",V
142,VADER,You found something?,V
143,PIETT,"Yes, my lord.",V
144,VADER,That s it. The  Rebels are there.,V
145,OZZEL,"My lord, there are so many uncharted settlements. It could be  smugglers, it could be...",V
